scan,piastra,n_seme,timestamp,pixel_area,global_id,percent_growth,salt_group,treatment,group
scan1,5,4,50,33972.5,scan1_50_p5_seed04,40.58846655217364,High salt,No MF,Fast growers at t=50
scan1,5,2,50,32575.5,scan1_50_p5_seed02,13.507439283598732,High salt,No MF,Fast growers at t=50
scan1,6,3,50,33819.0,scan1_50_p6_seed03,12.17287472221301,High salt,No MF,Fast growers at t=50
scan1,5,8,50,29565.0,scan1_50_p5_seed08,12.035317746030543,High salt,No MF,Fast growers at t=50
scan1,5,1,50,32559.5,scan1_50_p5_seed01,11.644692852366829,High salt,No MF,Fast growers at t=50
scan1,5,3,50,30602.5,scan1_50_p5_seed03,11.358756959353736,High salt,No MF,Fast growers at t=50
scan1,5,9,50,31393.0,scan1_50_p5_seed09,11.107965102903965,High salt,No MF,Fast growers at t=50
scan1,6,7,50,28448.5,scan1_50_p6_seed07,10.966571751765027,High salt,No MF,Fast growers at t=50
scan1,6,1,50,33012.5,scan1_50_p6_seed01,10.87507766713127,High salt,No MF,Fast growers at t=50
scan1,5,5,50,29829.0,scan1_50_p5_seed05,10.861687696281567,High salt,No MF,Fast growers at t=50
scan1,5,4,75,34116.0,scan1_75_p5_seed04,41.18231289701836,High salt,No MF,Fast growers at t=75
scan1,5,8,75,36569.0,scan1_75_p5_seed08,38.5766796771382,High salt,No MF,Fast growers at t=75
scan1,5,2,75,39674.0,scan1_75_p5_seed02,38.24175058364403,High salt,No MF,Fast growers at t=75
scan1,5,3,75,37845.0,scan1_75_p5_seed03,37.71332920927186,High salt,No MF,Fast growers at t=75
scan1,5,10,75,34045.5,scan1_75_p5_seed10,37.29685042545469,High salt,No MF,Fast growers at t=75
scan1,5,9,75,38764.5,scan1_75_p5_seed09,37.19761453927693,High salt,No MF,Fast growers at t=75
scan1,6,7,75,35153.5,scan1_75_p6_seed07,37.120177867925264,High salt,No MF,Fast growers at t=75
scan1,5,1,75,39870.5,scan1_75_p5_seed01,36.71370034460884,High salt,No MF,Fast growers at t=75
scan1,5,5,75,36760.5,scan1_75_p5_seed05,36.623120807239886,High salt,No MF,Fast growers at t=75
scan1,6,9,75,37019.0,scan1_75_p6_seed09,36.11427730999743,High salt,No MF,Fast growers at t=75
scan1,6,1,100,43391.0,scan1_100_p6_seed01,45.73208618112815,High salt,No MF,Fast growers at t=100
scan1,5,4,100,34290.0,scan1_100_p5_seed04,41.9023774545304,High salt,No MF,Fast growers at t=100
scan1,6,9,100,38479.5,scan1_100_p6_seed09,41.48435489208369,High salt,No MF,Fast growers at t=100
scan1,5,8,100,37117.5,scan1_100_p5_seed08,40.65519724127477,High salt,No MF,Fast growers at t=100
scan1,5,2,100,39912.5,scan1_100_p5_seed02,39.07278999268267,High salt,No MF,Fast growers at t=100
scan1,5,3,100,38174.0,scan1_100_p5_seed03,38.910519995633344,High salt,No MF,Fast growers at t=100
scan1,5,10,100,34358.0,scan1_100_p5_seed10,38.55708351816752,High salt,No MF,Fast growers at t=100
scan1,5,5,100,37176.5,scan1_100_p5_seed05,38.16921561704421,High salt,No MF,Fast growers at t=100
scan1,6,10,100,38525.5,scan1_100_p6_seed10,38.12878706392743,High salt,No MF,Fast growers at t=100
scan1,5,1,100,40154.0,scan1_100_p5_seed01,37.68580588749636,High salt,No MF,Fast growers at t=100
scan1,6,1,125,43832.0,scan1_125_p6_seed01,47.21321936556449,High salt,No MF,Fast growers at t=125
scan1,6,9,125,39413.0,scan1_125_p6_seed09,44.91671875574512,High salt,No MF,Fast growers at t=125
scan1,5,4,125,34418.0,scan1_125_p5_seed04,42.432080117527775,High salt,No MF,Fast growers at t=125
scan1,5,8,125,37524.0,scan1_125_p5_seed08,42.195611807950286,High salt,No MF,Fast growers at t=125
scan1,5,10,125,35156.0,scan1_125_p5_seed10,41.775214743719,High salt,No MF,Fast growers at t=125
scan1,5,2,125,40154.5,scan1_125_p5_seed02,39.91602494860448,High salt,No MF,Fast growers at t=125
scan1,5,5,125,37555.0,scan1_125_p5_seed05,39.57593889952242,High salt,No MF,Fast growers at t=125
scan1,6,10,125,38856.0,scan1_125_p6_seed10,39.31375712595461,High salt,No MF,Fast growers at t=125
scan1,5,3,125,38174.0,scan1_125_p5_seed03,38.910519995633344,High salt,No MF,Fast growers at t=125
scan1,5,1,125,40154.0,scan1_125_p5_seed01,37.68580588749636,High salt,No MF,Fast growers at t=125
